key,closed date,issue type,assignee,created,IT Team,Issue Priority,Labels,Reporter,Resolution,Summary,Description
JIRA-SP-091,2024-12-19 04:16:09,Bug,jane.smith@company.com,2024-12-18 17:45:38,Specialty Rules Engine,Medium,"Code Fix,#SPECIALTY_CUSTOM",support.team@company.com,"1. Review rules engine evaluation logic
2. Fix data type conversions in rule conditions
3. Add validation for rule configuration
4. Implement rule testing framework
5. Update existing rules with correct data types
6. Add monitoring for rule execution failures
7. Deploy fix and monitor auto-approval rates",Specialty authorization rules not triggering correctly,Custom business rules for specialty authorizations failing to trigger. Rules engine evaluating conditions incorrectly due to data type mismatch. Causing manual review of cases that should auto-approve.
JIRA-MM-024,2025-10-15 15:17:53,Performance,diana.garcia@company.com,2025-10-14 17:45:38,MM Infrastructure,High,"Configuration Fix,#MM_ALDER",product.team@company.com,"1. Increase connection pool size from 100 to 200
2. Implement connection timeout of 30 seconds
3. Add connection pool monitoring alerts
4. Review slow queries and add indexes
5. Deploy configuration changes
6. Monitor connection pool metrics",MM service database connection pool exhaustion,Service hitting maximum database connection limit during peak hours. Connection pool metrics show sustained 100% utilization. Causing 504 Gateway Timeout errors for member eligibility lookups.
JIRA-MM-020,2025-06-02 19:31:20,Bug,bob.johnson@company.com,2025-06-01 17:45:38,MM Core Team,Medium,"Code Fix,#MM_ALDER,#MMALDR",support.team@company.com,"1. Analyze heap dump: jmap -dump:live,format=b,file=heap.bin <pid>
2. Identify leak source in background worker
3. Add proper resource cleanup in finally blocks
4. Implement connection pooling with max age
5. Deploy fix and monitor memory usage
6. Set up alerts for memory threshold (>80%)",MM_ALDER service memory leak in event handler,Memory usage grows continuously in event handler until service crashes. Heap dump shows retention of event listener objects. Issue started after recent deployment.
JIRA-CI-059,2025-09-18 08:39:48,Bug,diana.garcia@company.com,2025-09-17 17:45:38,CIW Integration,Medium,"Code Fix,#CIW_INTEGRATION",qa.team@company.com,"1. Review validation rules in member registration/validators.py
2. Analyze rejected records to identify pattern
3. Update validation regex to handle edge cases
4. Add exception handling for null/empty values
5. Implement validation bypass for admin users
6. Update unit tests with edge case scenarios
7. Deploy to staging and test with sample data
8. Monitor error rates after production deployment",CIW data validation errors in claims submission,CIW claims submission rejecting valid records with validation errors. Error message: 'Invalid reference'. Validation logic too strict and rejecting legitimate edge cases.
JIRA-CI-058,2025-06-12 20:51:08,Integration Issue,diana.garcia@company.com,2025-06-12 17:45:38,CIW API Team,Medium,"Configuration Fix,#CIW_INTEGRATION",ops.team@company.com,"1. Implement Redis-based token cache for shared state
2. Add automatic token refresh before expiration
3. Implement retry logic with exponential backoff
4. Add token validation logging
5. Deploy configuration changes
6. Monitor authentication success rates",CIW API authentication failures with third-party provider,OAuth token refresh failing intermittently. Receiving 401 Unauthorized errors. Token cache not properly synchronized across multiple service instances.
JIRA-SP-073,2025-07-19 06:50:24,Bug,charlie.brown@company.com,2025-07-18 17:45:38,Specialty Rules Engine,High,"Code Fix,#SPECIALTY_CUSTOM",qa.team@company.com,"1. Review rules engine evaluation logic
2. Fix data type conversions in rule conditions
3. Add validation for rule configuration
4. Implement rule testing framework
5. Update existing rules with correct data types
6. Add monitoring for rule execution failures
7. Deploy fix and monitor auto-approval rates",Specialty authorization rules not triggering correctly,Custom business rules for specialty authorizations failing to trigger. Rules engine evaluating conditions incorrectly due to data type mismatch. Causing manual review of cases that should auto-approve.
JIRA-SP-081,2025-09-11 08:04:22,Feature Request,john.doe@company.com,2025-09-09 17:45:38,Specialty Services,Medium,"Code Fix,#SPECIALTY_CUSTOM",product.team@company.com,"1. Design workflow state machine with 5 stages
2. Implement credentialing API client
3. Build document upload and verification service
4. Create automated notification system
5. Add workflow tracking dashboard
6. Conduct UAT with business team
7. Deploy to production with phased rollout",Custom workflow automation for specialty provider onboarding,Business team needs automated workflow for specialty provider credentialing. Current manual process takes 2 weeks. Need to integrate with external credentialing API and automate document verification.
JIRA-MM-012,2025-09-22 17:10:52,Bug,bob.johnson@company.com,2025-09-20 17:45:38,MM Batch Processing,Critical,"Code Fix,#MM_ALDER,#MMALDR",support.team@company.com,"1. Implement batch processing with 1000 record chunks
2. Add pagination to database queries
3. Clear processed records from memory
4. Increase JVM heap size to 8GB
5. Add job monitoring and alerting
6. Test with production data volume",MM_ALDER batch processing job failures,Nightly batch job failing with OOM errors. Processing 500K+ records causing heap overflow. Job runs fine with smaller datasets but fails in production volume.
JIRA-CI-062,2025-10-12 01:43:59,Bug,bob.johnson@company.com,2025-10-11 17:45:38,CIW Integration,High,"Code Fix,#CIW_INTEGRATION",product.team@company.com,"1. Review validation rules in member registration/validators.py
2. Analyze rejected records to identify pattern
3. Update validation regex to handle edge cases
4. Add exception handling for null/empty values
5. Implement validation bypass for admin users
6. Update unit tests with edge case scenarios
7. Deploy to staging and test with sample data
8. Monitor error rates after production deployment",CIW data validation errors in claims submission,CIW claims submission rejecting valid records with validation errors. Error message: 'Invalid reference'. Validation logic too strict and rejecting legitimate edge cases.
JIRA-CI-040,2025-04-20 14:30:49,Bug,bob.johnson@company.com,2025-04-18 17:45:38,CIW Integration,Low,"Code Fix,#CIW_INTEGRATION",qa.team@company.com,"1. Review validation rules in member registration/validators.py
2. Analyze rejected records to identify pattern
3. Update validation regex to handle edge cases
4. Add exception handling for null/empty values
5. Implement validation bypass for admin users
6. Update unit tests with edge case scenarios
7. Deploy to staging and test with sample data
8. Monitor error rates after production deployment",CIW data validation errors in claims submission,CIW claims submission rejecting valid records with validation errors. Error message: 'Invalid reference'. Validation logic too strict and rejecting legitimate edge cases.
